Provinsi_Clean,Tahun,Persentase_Penduduk_Miskin,IPM,Rata_Rata_Lama_Sekolah,IPM_Norm,RLS_Norm,Prediksi_Kemiskinan_AI,Score_Poverty,Score_IPM_Inv,Score_RLS_Inv,Skor_Prioritas_Bansos
JAWA TENGAH,2024,10.47,73.88,8.02,0.5936395759717317,0.2830578512396693,10.29120000000001,0.29093931837073983,0.40636042402826833,0.7169421487603307,0.4107662161459166
JAWA TIMUR,2019,10.37,71.5,7.59,0.48851590106007103,0.19421487603305776,9.862699999999998,0.28678304239401486,0.511484098939929,0.8057851239669422,0.45799377567237454
JAWA TIMUR,2020,11.09,71.71,7.78,0.49779151943462896,0.23347107438016534,10.965799999999994,0.31670822942643384,0.502208480565371,0.7665289256198347,0.46232244400679523
JAWA TIMUR,2021,11.4,72.14,7.88,0.5167844522968199,0.2541322314049588,11.155999999999992,0.32959268495428096,0.4832155477031801,0.7458677685950412,0.45893456050710274
JAWA TIMUR,2022,10.38,72.75,8.03,0.5437279151943466,0.2851239669421486,9.418899999999999,0.2871986699916874,0.4562720848056534,0.7148760330578514,0.42345616704911004
JAWA TIMUR,2023,10.35,73.38,8.11,0.5715547703180213,0.30165289256198347,9.253600000000008,0.28595178719866987,0.42844522968197873,0.6983471074380165,0.41117888399153185
JAWA TIMUR,2024,9.79,74.09,8.28,0.60291519434629,0.33677685950413205,8.416599999999992,0.26267664172901073,0.39708480565370996,0.663223140495868,0.38310839065979196
KALIMANTAN BARAT,2019,7.49,67.65,7.31,0.31846289752650225,0.13636363636363624,8.3242,0.1670822942643391,0.6815371024734977,0.8636363636363638,0.4607295506014917
KALIMANTAN BARAT,2020,7.17,67.66,7.37,0.318904593639576,0.14876033057851235,7.717299999999995,0.1537822111388196,0.681095406360424,0.8512396694214877,0.4514676613618345
KALIMANTAN BARAT,2021,7.15,67.9,7.45,0.32950530035335746,0.16528925619834722,7.86479999999999,0.1529509559434746,0.6704946996466425,0.8347107438016528,0.44456603662606065
KALIMANTAN BARAT,2022,6.73,68.63,7.59,0.36174911660777376,0.19421487603305776,10.038000000000006,0.13549459684123025,0.6382508833922262,0.8057851239669422,0.42037958823167143
KALIMANTAN BARAT,2023,6.71,69.41,7.71,0.396201413427562,0.21900826446280997,9.560100000000002,0.13466334164588525,0.603798586572438,0.78099173553719,0.40466959390211205
KALIMANTAN BARAT,2024,6.32,70.13,7.78,0.4280035335689045,0.23347107438016534,9.139100000000015,0.11845386533665833,0.5719964664310955,0.7665289256198347,0.3841316577216247
KALIMANTAN SELATAN,2019,4.55,70.72,8.2,0.4540636042402828,0.3202479338842974,6.768099999999995,0.04488778054862841,0.5459363957597172,0.6797520661157026,0.3221752222253699
KALIMANTAN SELATAN,2020,4.38,70.91,8.29,0.46245583038869276,0.33884297520661133,6.287099999999997,0.03782211138819616,0.5375441696113072,0.6611570247933887,0.312405711536168
KALIMANTAN SELATAN,2021,4.83,71.28,8.34,0.47879858657243846,0.34917355371900816,6.658700000000006,0.05652535328345801,0.5212014134275615,0.6508264462809918,0.31478838992619584
KALIMANTAN SELATAN,2022,4.49,71.84,8.46,0.5035335689045941,0.3739669421487606,6.397200000000003,0.04239401496259351,0.4964664310954059,0.6260330578512394,0.2953435483801664
KALIMANTAN SELATAN,2023,4.29,72.5,8.55,0.5326855123674914,0.3925619834710745,5.869800000000002,0.034081463009143775,0.4673144876325086,0.6074380165289255,0.27872268110010956
