Provinsi,Tahun,Persentase_Penduduk_Miskin,IPM,Rata_Rata_Lama_Sekolah,IPM_Norm,RLS_Norm,Prediksi_Kemiskinan_AI,Score_Poverty,Score_IPM_Inv,Score_RLS_Inv,Skor_Prioritas_Bansos
KEP. BANGKA BELITUNG,2024,4.55,73.33,8.33,0.6712744436952123,0.5659340659340659,5.495200000000006,0.0366101694915254,0.3287255563047877,0.4340659340659341,0.20373593845038585
KEPULAUAN RIAU,2019,5.9,75.48,9.99,0.743762643290627,0.7939560439560438,5.942899999999994,0.08237288135593221,0.256237356709373,0.2060439560439562,0.15926643889956923
KEPULAUAN RIAU,2020,5.92,75.59,10.12,0.7474713418745786,0.8118131868131866,5.958399999999999,0.08305084745762711,0.25252865812542136,0.1881868131868134,0.15492138380380266
KEPULAUAN RIAU,2021,6.12,75.79,10.18,0.7542144302090359,0.8200549450549448,6.061400000000001,0.08983050847457627,0.2457855697909641,0.1799450549450552,0.1546399361635884
KEPULAUAN RIAU,2022,6.24,76.46,10.37,0.7768037761294673,0.846153846153846,6.135900000000006,0.09389830508474575,0.22319622387053273,0.15384615384615397,0.14467725047276347
KEPULAUAN RIAU,2023,5.69,77.11,10.41,0.7987188132164531,0.8516483516483515,5.916600000000005,0.0752542372881356,0.2012811867835469,0.1483516483516485,0.12768180434946155
KEPULAUAN RIAU,2024,5.37,77.97,10.5,0.8277140930546192,0.8640109890109888,5.644100000000004,0.06440677966101696,0.17228590694538082,0.13598901098901117,0.11108696411192497
LAMPUNG,2019,12.62,69.57,7.92,0.544504383007417,0.5096153846153846,13.113499999999986,0.3101694915254237,0.455495616992583,0.4903846153846154,0.3898103539374098
LAMPUNG,2020,12.34,69.69,8.05,0.5485502360080916,0.5274725274725276,13.237999999999994,0.30067796610169495,0.4514497639919084,0.4725274725274724,0.3802794067539145
LAMPUNG,2021,12.62,69.9,8.08,0.5556304787592719,0.5315934065934065,13.090799999999996,0.3101694915254237,0.44436952124072815,0.4684065934065935,0.382076920816249
LAMPUNG,2022,11.57,70.45,8.18,0.5741739716790291,0.5453296703296702,11.898000000000007,0.2745762711864407,0.42582602832097094,0.45467032967032983,0.35597001002357753
LAMPUNG,2023,11.11,71.15,8.29,0.5977747808496294,0.5604395604395602,11.2588,0.25898305084745765,0.40222521915037057,0.4395604395604398,0.338071179080928
LAMPUNG,2024,10.69,71.81,8.36,0.6200269723533378,0.5700549450549448,9.196500000000016,0.2447457627118644,0.3799730276466622,0.4299450549450552,0.3223538006389419
MALUKU,2019,17.69,69.45,9.81,0.5404585300067433,0.7692307692307692,17.03760000000003,0.4820338983050848,0.45954146999325673,0.23076923076923084,0.42503323630436557
MALUKU,2020,17.44,69.49,9.93,0.5418071476736344,0.7857142857142856,16.919600000000024,0.4735593220338983,0.45819285232636564,0.2142857142857144,0.4170946595720017
MALUKU,2021,17.87,69.71,10.03,0.5492245448415372,0.7994505494505493,17.321599999999986,0.48813559322033895,0.45077545515846285,0.20054945054945073,0.4194103232675985
